asset_type_id,asset_type_main_type_name,asset_type_sub_type_name
1,ที่ดิน,โฉนด
2,ที่ดิน,ส.ป.ก
3,ที่ดิน,ส.ป.ก 4-01
4,ที่ดิน,น.ส.3
5,ที่ดิน,น.ส.3ก
6,ที่ดิน,ภบท.5
7,ที่ดิน,ห้องชุด (อ.ช.2)
8,ที่ดิน,สัญญาซื้อขาย
9,ที่ดิน,น.ค.3
10,โรงเรือนและสิ่งปลูกสร้าง,บ้าน
11,โรงเรือนและสิ่งปลูกสร้าง,อาคาร
12,โรงเรือนและสิ่งปลูกสร้าง,ตึก
13,โรงเรือนและสิ่งปลูกสร้าง,ห้องชุด
14,โรงเรือนและสิ่งปลูกสร้าง,คอนโด
15,โรงเรือนและสิ่งปลูกสร้าง,หอพัก
16,โรงเรือนและสิ่งปลูกสร้าง,ลานจอดรถ
17,โรงเรือนและสิ่งปลูกสร้าง,โรงงาน
18,ยานพาหนะ,รถยนต์
19,ยานพาหนะ,จักรยานยนต์
20,ยานพาหนะ,เรือยนต์
21,ยานพาหนะ,เครื่องบิน
22,สิทธิและสัมปทาน,กรมธรรม์
23,สิทธิและสัมปทาน,สัญญา
24,สิทธิและสัมปทาน,สมาชิก
25,สิทธิและสัมปทาน,กองทุน
27,สิทธิและสัมปทาน,ป้ายประมูล
28,ทรัพย์สินอื่น,กระเป๋า
29,ทรัพย์สินอื่น,อาวุธปืน
30,ทรัพย์สินอื่น,นาฬิกา
31,ทรัพย์สินอื่น,เครื่องประดับ
32,ทรัพย์สินอื่น,วัตถุมงคล
33,ทรัพย์สินอื่น,ทองคำ
34,ทรัพย์สินอื่น,งานศิลปะ โบราณวัตถุ
35,ทรัพย์สินอื่น,ของสะสมอื่น
36,ที่ดิน,อื่นๆ
37,โรงเรือนและสิ่งปลูกสร้าง,อื่นๆ
38,ยานพาหนะ,อื่นๆ
39,สิทธิและสัมปทาน,อื่นๆ
26,สิทธิและสัมปทาน,เงินสงเคราะห์
